ID,MFACTOR,EFACTOR,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,STATUS
225,22,C,4.359,3.873,3.873,4.123,4.243,3.873,3.873,3.742,3.606,3.742,3.742,4.472,3.742,3.606,3.464,3.464,3.873,3.464,3.317,3.606,3.464,3.742,3.464,3.742,3.162,3.162,3.464,4,3,3,3.873,4.123,3.162,3,3.162,3.162,1
226,22,B,1,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.414,1.732,1.414,1.414,1,1.414,1.414,1.414,1.414,1.732,1.732,1.414,1.732,1.732,2,1.732,2,1.732,2,1.732,1.732,1.732,2,1.732,1.732,1.732,2.236,1
227,22,C,2.236,2.236,2.236,2.449,2.236,1.732,2.236,2,2.236,1.732,2.449,3,2.236,2,2.236,2,1.732,2,1.732,2.449,2,2,1,2,2,2.236,2,2.236,2,1.732,3.464,2.646,1.732,3.873,2.828,2.236,0
228,22,A,2.449,2.236,2.646,2.828,2.828,3,2.236,1.414,1,2.236,1.414,2,1.732,4,1.732,2.449,3,2,1.732,2.236,2.449,1.732,1.414,1.732,2.236,2.449,1.414,2.449,1.414,2.449,2.236,2.449,2.449,2,2.236,2.236,1
229,22,C,2.828,2.828,2.449,2.449,2.646,2,2.236,2,2.236,2.646,2.646,2.449,2.646,1.732,1.414,1.732,1.732,1.414,3.464,1.732,1.732,3.742,3.162,1.414,2.236,1.414,1.414,1.414,1.732,1.732,2,1.732,2.236,3.606,2.236,1,0
230,22,B,2.828,3.464,3.317,3,2.828,3.162,3.162,3.317,3.162,2.236,3,2.828,3.317,2.828,3.162,3.317,2.828,3,2.646,3.464,3.162,2.828,3,3,3,3.162,2.646,2.449,3.464,3.162,3.606,3.742,3.162,3.317,3.162,3.464,1
231,22,B,3.317,3,3.606,2.646,3.464,2.828,2,3.464,2.646,2.449,3.742,2.646,2.449,2.449,3.742,3,3,3.464,3,3,3,2.236,2.449,2.236,2.236,2.449,2.449,2.646,2.449,2.646,2.449,2.449,2.646,2.449,2.449,2.828,2
232,22,B,1,1.414,1.732,1.732,1,1.414,2.828,5.657,5.196,5.477,5.657,4.123,2.828,2.449,2.449,2.236,2,1.732,2,1.732,1.732,1.732,1.732,1.732,1.732,1.732,1.414,2,1.732,1.732,1,1.414,1.414,1.414,1,1,1
233,22,B,4.123,3.162,3.606,2.828,2.646,2.828,2.236,2.828,2.449,2.236,2.449,2.828,2.646,2.236,3,3.464,3.162,2.646,2.828,2,2.449,2.236,2.236,3.162,2.236,2.236,2.449,2.828,2.449,2.646,3,2.828,3.317,3.162,2.449,2.236,1
234,22,B,4.359,4.796,4.472,4.472,4.69,4.472,5.196,5.831,4.472,6.164,5.916,7.211,4.359,4.583,7.211,6.856,4.69,3.873,4,4.583,4.359,4.796,2.449,4.69,3.742,2.828,2.828,3.162,2.646,4.243,3.464,2.449,2.646,2.449,2.828,2.236,0
235,22,B,2,2.449,2.646,2.646,2.828,2.236,2,2.828,1.732,2.646,2.646,2.449,2.449,2.236,2.646,2.236,2.236,2.236,2.449,2,1.732,2,2.236,2.236,2.646,2.449,2.449,2.449,2.828,2.828,2,1.732,2,2,2,2.236,1
236,22,B,3.873,4.123,3.606,3.742,3.606,3.742,3.464,3.606,3.606,3.464,3.464,3.162,3.606,3.606,3.606,3.464,3.464,3.464,3.464,3.317,3.606,3.464,3.742,3.464,3.742,3.606,3.606,3.873,3.606,3.873,3.742,4,4,4.243,4.123,4.243,0
237,22,B,1.414,1,1,2.449,2.236,3,1.732,2.646,2.236,1.732,2.828,1.732,2.236,2.236,2.449,2,2.236,2,2.236,1.732,2,2,2,1.732,2,2,1.732,2.449,2.449,2,2.449,2.236,2.236,2.646,2.236,2.236,2
238,2,B,1.414,1.732,1.732,1.732,1.732,1.732,1.414,2,2.449,1.732,2,2,1.414,1.414,1.732,1.732,1.414,1.732,1.732,1.414,1.414,1.732,2,1.732,1.732,1.732,1.732,2,1.732,1.414,1.732,1.732,1.732,2,1.732,2,0
239,3,B,1.732,2,1.732,1.732,2,1.414,1.732,1.732,2,1.732,2,2,1.732,2.646,2,2,1.414,1,2.236,2.236,1.732,2.449,1.414,2.236,1.732,1.732,2.236,2.449,1.732,1.414,2,1.732,1.414,1,1.414,1,2
240,22,A,2,2.646,1.732,1.732,2,1.732,1.732,1.732,1.732,2,1.732,1.732,1.732,1.732,1.732,1.732,1.414,1.732,1.732,1.732,1,2,1.414,1.732,1.732,1.732,1.732,1.732,2,1.732,1.732,2,1.732,1.732,1.732,2,2
241,22,B,2,1.732,2,2,2,1.732,2,2.236,2,2,2,2,2,1.732,2.236,1.732,1.732,1.732,1.414,2,2,2,2.236,2.236,2.236,2,2,2.236,2,2,2,2,2,1.732,2,2.236,2
242,2,B,4.123,4.472,5.292,5,4.123,4.123,4.69,4.243,4.583,4.243,4.472,4.243,4.796,4.899,4.472,4.69,5,5.292,5.099,5,5.196,4.472,4.123,5.292,5.196,5,4.899,5.292,5.292,5,5.196,5.568,5.477,5.385,5.477,5.099,0
243,3,A,3.742,4,3.464,4.69,1.414,4.472,4.69,2.236,3.606,4.472,4.69,3.606,4.243,3,4,4.796,3.742,3.742,3.742,4.472,2.449,2.646,3.606,3.162,2.236,3,3.317,2.449,5.292,2.646,3.464,4.123,3.464,3.464,4.359,4.243,1
244,22,B,3.873,4.123,4.359,3.606,3,3.317,3.317,3.317,4.472,2.236,2,3.464,3.742,3.873,4.69,3.464,3.606,3.162,3.464,3.162,3.464,4,3.317,3.162,3.873,3,3,3.464,3.464,4.899,4,3.464,3.162,3.873,3.317,3.873,1
