ID,Met,Norte,Rio,Sor,Socc,Valor de vivienda,Area,Habitaciones,Garajes,Baños,Casa,Apartamento,E_Bajo,E_Medio,E_Alto,D_Parques,D_salud,D_Comercios,D_Centros educativos,D_Transmetro ,D_Bus,R_Bajo,R_Medio,R_Alto,S_Bajo,S_Medio,S_Alto,Residencial,Comercial,Institucional,Otros,Densidad
101,0,0,0,0,1,550,243,4,1,4,1,0,0,1,0,83.02,180.96,180.10,79.72,94.70,68.13,1,0,0,0,0,1,1,0,0,0,0.05
102,0,0,0,0,1,160,65,3,0,1,0,1,0,1,0,30.59,191.05,121.91,136.97,67.57,67.99,1,0,0,0,0,1,1,0,0,0,0.03
103,0,0,0,0,1,550,110,3,1,2,1,0,0,1,0,55.64,225.19,63.52,204.12,33.86,33.93,1,0,0,0,0,1,1,0,0,0,0.04
104,0,0,0,0,1,270,55,3,0,1,1,0,0,1,0,43.60,218.37,45.11,172.62,80.40,39.96,1,0,0,0,0,1,1,0,0,0,0.03
105,0,0,0,0,1,315,95,3,0,2,1,0,0,1,0,6.71,114.02,20.32,90.90,347.91,124.38,1,0,0,0,0,1,1,0,0,0,0.00
106,0,0,0,0,1,350,160,3,0,2,1,0,0,1,0,105.34,498.93,249.68,24.50,214.14,7.39,0,1,0,0,0,1,1,0,0,0,0.03
107,0,0,0,0,1,330,128,4,0,2,1,0,0,1,0,62.55,537.94,263.46,23.68,189.95,15.41,0,1,0,0,0,1,1,0,0,0,0.04
108,0,0,0,0,1,320,100,4,0,2,1,0,0,1,0,51.85,609.92,213.77,100.91,139.34,42.32,0,1,0,0,0,1,1,0,0,0,0.00
109,0,0,0,0,1,400,126,3,0,2,1,0,0,1,0,161.69,635.81,209.45,158.28,29.53,30.41,0,1,0,0,0,1,1,0,0,0,0.02
110,0,0,0,1,0,580,160,4,1,3,1,0,1,0,0,271.52,48.13,151.67,48.13,7.31,7.25,0,1,0,0,0,1,0,1,0,0,0.02
111,0,0,0,1,0,355,282,6,2,6,1,0,1,0,0,271.32,48.73,152.32,48.73,7.68,7.62,0,1,0,0,0,1,0,1,0,0,0.02
112,0,0,0,1,0,350,170,3,1,2,1,0,0,1,0,348.91,313.22,258.68,38.77,289.86,278.32,0,1,0,0,0,1,1,0,0,0,0.01
113,0,0,0,1,0,500,143,3,1,3,1,0,0,1,0,411.89,168.42,154.34,277.43,15.27,15.14,0,1,0,0,0,1,0,0,1,0,0.03
114,0,0,0,1,0,450,300,6,0,4,1,0,0,1,0,360.37,201.02,203.07,245.49,101.02,102.70,0,1,0,0,0,1,0,1,0,0,0.04
115,0,0,0,1,0,200,85,3,0,1,1,0,1,0,0,199.18,227.14,283.32,101.37,138.30,137.54,0,1,0,0,0,1,1,0,0,0,0.03
116,0,0,0,1,0,300,220,3,0,2,1,0,0,1,0,137.03,270.24,320.20,137.83,219.06,147.25,0,1,0,0,0,1,1,0,0,0,0.03
117,0,0,0,1,0,320,225,3,0,2,1,0,0,1,0,61.21,312.55,341.76,169.55,335.55,4.95,0,1,0,0,0,1,1,0,0,0,0.04
118,0,0,0,1,0,550,350,3,1,2,1,0,0,1,0,116.20,345.08,158.46,224.76,74.55,201.19,0,1,0,0,0,1,1,0,0,0,0.04
119,0,0,0,1,0,130,72,3,0,3,0,1,0,1,0,259.00,359.00,382.00,215.30,286.00,44.00,0,1,0,0,0,1,0,0,1,0,0.03
120,0,0,0,1,0,380,125,3,0,3,1,0,1,0,0,352.00,359.00,295.00,199.00,252.00,76.00,0,1,0,0,0,1,1,0,0,0,0.02
121,0,0,0,1,0,170,86,2,1,2,1,0,1,0,0,348.00,363.00,294.00,64.10,245.00,62.00,0,1,0,0,0,1,1,0,0,0,0.02
122,0,0,0,1,0,320,180,5,1,5,1,0,1,0,0,433.00,62.00,142.00,101.30,12.00,200.00,0,0,1,0,0,1,0,0,1,0,0.02
